oid,cruise,tow,haul,haul_type,haul_date,bed_code,station,gear_code,sensor,start_lat,start_lon,heading,start_depth,start_time,cable_out,avg_speed,avg_depth,weather,surface_temp,end_lat,end_lon,end_depth,end_time,duration,distance,gear_perf,notes
383857092,1901,19010001,1,10,2019-05-05,YAK4,DFG590,1,1,59.2315,-139.3598,140,48.0,11:02:04,154,4.9,48.0,021,49.00,59.2183,-139.3395,48.0,11:14:44,12,1.14,1,Hauls 1-10 had Dredgemaster problems - not sure if it was the dredge mounted sensor or the hull mounted sensor (which may be covered by growth on the hull). Signal was in and out all day.
383857093,1901,19010002,2,10,2019-05-05,YAK4,DFH591,1,1,59.2157,-139.3285,148,47.0,11:58:01,150,5.0,46.0,021,49.00,59.2010,-139.3038,45.4,12:11:20,13,1.15,1,
383857094,1901,19010003,3,10,2019-05-05,YAK4,DFI593,1,1,59.1998,-139.2583,144,42.0,12:42:00,139,5.0,,021,48.00,59.1847,-139.2393,45.0,12:55:00,13,1.10,1,
383857095,1901,19010004,4,10,2019-05-05,YAK4,DFK594,1,1,59.1657,-139.2262,135,43.9,13:27:00,137,5.0,44.0,021,46.00,59.1530,-139.2035,44.0,13:39:00,12,1.07,1,
383857096,1901,19010005,5,10,2019-05-05,YAK4,DFJ595,1,1,59.1798,-139.1992,126,39.0,14:10:00,128,5.0,39.0,022,45.00,59.1685,-139.1745,39.0,14:23:00,13,1.04,1,
383857097,1901,19010006,6,10,2019-05-05,YAK4,DFL597,1,1,59.1467,-139.1323,141,40.0,14:50:00,128,5.0,40.0,032,44.00,59.1340,-139.1065,40.0,15:03:00,13,1.14,1,
383857098,1901,19010007,7,10,2019-05-05,YAK4,DFM597,1,1,59.1332,-139.1292,150,42.0,15:31:00,138,5.0,42.0,032,44.00,59.1175,-139.1042,42.0,15:44:00,14,1.24,1,
383857100,1901,19010008,8,11,2019-05-05,YAK4,DFM597,3,1,59.1320,-139.1272,150,42.0,16:06:00,139,5.0,42.0,032,44.00,59.1173,-139.1028,42.0,16:19:00,13,1.18,1,Catch: 15 broken/crushed scallops for 1.82kg
383857099,1901,19010009,9,10,2019-05-05,YAK4,DFO598,1,1,59.1002,-139.0943,140,44.0,16:50:00,136,5.0,44.0,032,44.00,59.0847,-139.0693,45.0,17:04:45,14,1.18,1,
383857108,1901,19010010,10,10,2019-05-05,YAK4,DFN599,1,1,59.1148,-139.0625,134,40.5,17:36:00,120,5.0,,032,44.00,59.1015,-139.0358,41.4,17:49:00,13,1.10,1,
383857101,1901,19010011,11,10,2019-05-06,YAK5,DFW615,1,1,58.9523,-138.5315,9,52.4,07:56:00,151,5.0,52.0,064,42.00,58.9668,-138.5252,52.0,08:07:00,11,0.90,1,
383857102,1901,19010012,12,10,2019-05-06,YAK5,DFU615,1,1,58.9840,-138.5173,1,51.6,08:22:00,150,5.0,51.0,064,42.00,58.9992,-138.5080,52.0,08:34:00,11,0.95,1,
383857103,1901,19010013,13,10,2019-05-06,YAK5,DFS617,1,1,59.0175,-138.4657,357,36.0,08:55:00,115,5.0,38.0,064,42.00,59.0333,-138.4535,42.0,09:09:00,12,1.15,1,
383857104,1901,19010014,14,10,2019-05-06,YAK5,DFR616,1,1,59.0402,-138.4673,265,53.0,09:25:00,152,5.0,54.0,064,42.00,59.0478,-138.4987,55.0,09:38:00,13,1.11,1,
383857106,1901,19010015,15,10,2019-05-06,YAK5,DFQ616,1,1,59.0577,-138.4998,116,49.0,10:13:00,150,5.0,48.0,064,42.00,59.0503,-138.4680,47.0,10:26:00,12,1.10,1,
383857105,1901,19010016,16,11,2019-05-06,YAK5,DFQ616,3,1,59.0570,-138.4983,114,52.0,10:54:00,152,5.0,49.0,064,43.00,59.0497,-138.4660,46.0,11:05:00,11,1.05,1,
383857107,1901,19010017,17,10,2019-05-06,YAK5,DFS614,1,1,59.0217,-138.5367,300,69.0,11:55:00,180,5.0,70.0,065,42.00,59.0305,-138.5668,70.0,12:09:00,14,1.08,1,
383857109,1901,19010018,18,10,2019-05-06,YAK5,DFR612,1,1,59.0400,-138.6070,293,70.0,12:38:00,190,5.0,70.0,065,42.00,59.0478,-138.6363,70.0,12:50:00,12,1.07,1,
383857111,1901,19010019,19,10,2019-05-06,YAK5,DFQ610,1,1,59.0578,-138.6675,267,68.5,13:15:00,191,5.0,68.0,066,42.00,59.0620,-138.7017,68.0,13:28:00,13,1.09,1,
383857112,1901,19010020,20,10,2019-05-07,YAK4,DET576,1,1,59.4360,-139.8063,300,63.0,08:24:00,170,5.0,62.0,077,42.00,59.4485,-139.8327,62.0,08:37:00,12,1.08,1,
383857110,1901,19010021,21,10,2019-05-07,YAK4,DES576,1,1,59.4525,-139.8020,285,50.7,09:04:45,153,5.0,51.0,077,42.00,59.4643,-139.8327,51.5,09:17:40,13,1.15,1,
383857119,1901,19010022,22,10,2019-05-07,YAK4,DER576,1,1,59.4692,-139.8028,280,39.0,09:51:00,135,5.0,42.0,066,42.00,59.4740,-139.8328,44.0,10:01:00,11,0.98,1,
383857120,1901,19010023,23,10,2019-05-07,YAK4,DEQ574,1,1,59.4843,-139.8690,302,44.0,10:49:00,137,5.0,44.0,055,42.00,59.4932,-139.9003,44.0,11:01:00,12,1.10,1,
383857121,1901,19010024,24,11,2019-05-07,YAK4,DEQ574,3,1,59.4842,-139.8705,305,44.0,11:43:00,140,5.0,44.0,055,42.00,59.4930,-139.9002,44.0,11:57:00,12,1.09,1,
383857113,1901,19010025,25,10,2019-05-07,YAK4,DER573,1,1,59.4747,-139.9035,300,62.0,12:50:00,160,5.0,61.0,066,42.00,59.4822,-139.9343,61.2,13:02:00,12,1.05,1,
383857114,1901,19010026,26,10,2019-05-07,YAK4,DEV582,1,1,59.4007,-139.6042,300,40.0,14:47:00,130,5.0,41.0,065,42.00,59.4050,-139.6347,43.0,14:58:00,11,0.95,1,
383857115,1901,19010027,27,10,2019-05-07,YAK4,DEW581,1,1,59.3923,-139.6353,304,53.0,15:28:00,150,5.0,54.0,055,42.00,59.3995,-139.6658,56.0,15:40:00,11,1.04,1,
383857116,1901,19010028,28,10,2019-05-07,YAK4,DEV579,1,1,59.4128,-139.7030,285,55.0,16:13:00,152,5.0,57.0,055,42.00,59.4167,-139.7335,59.0,16:24:00,11,0.96,1,
383857117,1901,19010029,29,10,2019-05-07,YAK4,DEU579,1,1,59.4187,-139.6995,305,49.6,17:02:00,142,5.0,50.0,056,43.00,59.4287,-139.7292,50.5,17:14:00,12,1.09,1,
383857118,1901,19010030,30,10,2019-05-07,YAK4,DET579,1,1,59.4342,-139.7123,310,39.5,17:47:00,115,5.0,38.0,055,43.00,59.4472,-139.7342,36.0,17:58:00,12,1.02,1,
383857158,1901,19010031,31,10,2019-05-09,YAK4,DFF591,1,1,59.2340,-139.3100,340,40.9,08:10:35,115,5.0,40.0,044,44.00,59.2497,-139.3280,40.6,08:23:40,12,1.11,1,
